,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Status,Enrollment Status,Type,Start Time,End Time,Days of Week,Room,Building,Instructors
528,2020,Fall,2020-fa,AE,353,Aerospace Control Systems,"Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Credit is not given for both AE 353 and either GE 320 or ME 340. Prerequisite: MATH 225, MATH 285, and TAM 212.",3 hours.,"Credit is not given for both AE 353 and either GE 320 or ME 340. Prerequisite: MATH 225, MATH 285, and TAM 212.",,,66644,A,A,1,A,Open,LCD,12:00 PM,12:50 PM,MWF,101,Transportation Building,
529,2020,Fall,2020-fa,AE,395,Honors Project,Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.,1 TO 4 hours.,Prerequisite: Consent of instructor.,,,10012,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
530,2020,Fall,2020-fa,AE,396,Honors Seminar,Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. Prerequisite: Consent of instructor.,1 TO 4 hours.,Prerequisite: Consent of instructor.,,,10015,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
531,2020,Fall,2020-fa,AE,397,Independent Study,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 3 hours.,May be repeated. Prerequisite: Consent of instructor.,,,10008,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
532,2020,Fall,2020-fa,AE,402,Orbital Mechanics,"Analysis of orbits in an inverse-square gravitational field; elementary rocket dynamics, impulsive orbit transfer and rendezvous, and Lambert's Theorem with applications; patched-conic trajectories, planetary gravity-assist maneuvers, and linearized orbit theory with application to simplified analytical models; perturbations. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 202.",3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 202.,,,29794,A,A,1,A,Open,LCD,2:00 PM,3:15 PM,TR,,,
534,2020,Fall,2020-fa,AE,412,Viscous Flow &amp; Heat Transfer,"Momentum and thermal transport in wall boundary-layer and free shear flows, solutions to the Navier-Stokes equations for heat conducting laminar and turbulent shear flows; similarity concepts; thermal boundary layers in ducts and high-speed aerodynamic boundary layers. Same as ME 411. 4 undergraduate hours. 4 graduate hours. Prerequisite: AE 311, ME 310 or TAM 335.",4 hours.,"Same as ME 411. 4 undergraduate hours. 4 graduate hours. Prerequisite: AE 311, ME 310 or TAM 335.",,,29800,A,A,1,A,CrossListOpen,LCD,10:00 AM,11:50 AM,TR,,,"Bodony, D"
536,2020,Fall,2020-fa,AE,416,Applied Aerodynamics,Two-dimensional and finite wing theory with emphasis on the mechanisms of lift and drag generation; Reynolds number and Mach number effects; drag analysis; high-lift wing systems; propeller and rotor aerodynamics; control surface design; application of V/STOL aerodynamics. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 311.,3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 311.,,,29803,A,A,1,A,Open,LCD,12:00 PM,12:50 PM,MWF,,,"Ansell, P"
538,2020,Fall,2020-fa,AE,420,Finite Element Analysis,Same as CSE 451 and ME 471. See ME 471.,3 OR 4 hours.,Same as CSE 451 and ME 471. See ME 471.,,,36855,B3,A,1,A,CrossListOpen,LEC,9:00 AM,9:50 AM,MWF,114,Transportation Building,"James, K"
541,2020,Fall,2020-fa,AE,428,Mechanics of Composites,Same as MSE 456 and TAM 428. See MSE 456.,3 hours.,Same as MSE 456 and TAM 428. See MSE 456.,,,35294,F,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,305,Materials Science & Eng Bld,
542,2020,Fall,2020-fa,AE,433,Aerospace Propulsion,"Fundamentals of rocket and airbreathing jet propulsion devices electric propulsion; prediction of thrust, combustion reactions, specific fuel consumption, and operating performance; ramjets; turbojets; turbofans; turboprops; aerothermodynamics of inlets, combustors, and nozzles; compressors, turbines; component matching, fundamentals of electrothermal, electromagnetic elastostatis thrusters, and solar sails. 3 undergraduate hours. 4 graduate hours. Prerequisite: AE 312 and PHYS 212.",3 OR 4 hours.,3 undergraduate hours. 4 graduate hours. Prerequisite: AE 312 and PHYS 212.,,,29787,A,A,1,A,Open (Restricted),LCD,2:00 PM,2:50 PM,MWF,103,Talbot Laboratory,"Rovey, J"
544,2020,Fall,2020-fa,AE,442,Aerospace Systems Design I,"Principles of systems engineering as they apply to the design process for aerospace flight systems; general design methodology; application of these concepts to the initial sizing of both aircraft and spacecraft systems. Intensive technical writing. 3 undergraduate hours. No graduate credit. AE 442 and AE 443 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: Credit or concurrent registration in AE 311, AE 323, and AE 352.",3 hours.,"3 undergraduate hours. No graduate credit. AE 442 and AE 443 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: Credit or concurrent registration in AE 311, AE 323, and AE 352.",,,57765,A1,A,1,A,Open (Restricted),LCD,3:30 PM,4:50 PM,TR,140,Burrill Hall,"Merret, J"
546,2020,Fall,2020-fa,AE,451,Aeroelasticity,"In-depth examination of aerodynamic and dynamic structural phenomena associated with flexible airplanes and missiles; divergence of linear and nonlinear elastic lifting surfaces; effect of elastic and inelastic deformations on lift distributions and stability; elastic flutter of straight and swept wings; equations of disturbed motion of elastic and inelastic aircraft; dynamic response to forces, gusts, and continuous atmospheric turbulence; creep divergence of lifting surfaces; flutter in the presence of creep; effect of temperature on inelastic divergence and flutter. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 352 or TAM 412; TAM 251.",3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 352 or TAM 412; TAM 251.,,,51603,A,A,1,A,Open,LCD,10:00 AM,11:50 AM,MW,,,"Goza, A"
548,2020,Fall,2020-fa,AE,452,Introduction to Nonlinear Dynamics and Vibrations,Same as TAM 416. See TAM 416.,4 hours.,Same as TAM 416. See TAM 416.,,,73419,GR4,A,1,A,CrossListOpen,LCD,1:00 PM,2:50 PM,MW,2078,Natural History Building,"Vakakis, A"
551,2020,Fall,2020-fa,AE,460,Aerodynamics &amp; Propulsion Lab,"Theory and application of experimental techniques in aerospace engineering with emphasis on fluid dynamic, aerodynamic, thermal, combustion, and propulsion phenomena. 2 undergraduate hours. No graduate credit. Prerequisite: AE 311; credit or concurrent registration in AE 433.",2 hours.,2 undergraduate hours. No graduate credit. Prerequisite: AE 311; credit or concurrent registration in AE 433.,,Students must register for lab and lecture-discussion sections.,36451,AB1,A,1,A,Open,LAB,9:00 AM,10:50 AM,M,ARR,Talbot Laboratory,
564,2020,Fall,2020-fa,AE,482,Introduction to Robotics,Same as ECE 470 and ME 445. See ECE 470.,4 hours.,Same as ECE 470 and ME 445. See ECE 470.,,,54489,AB1,A,1,A,CrossListOpen,LAB,9:00 AM,10:50 AM,T,3071,Electrical & Computer Eng Bldg,
572,2020,Fall,2020-fa,AE,483,Autonomous Systems Lab,"Theory and application of experimental techniques in aerospace engineering with emphasis on autonomous systems. 2 undergraduate hours. No graduate credit. Prerequisite: AE 202, AE 352, AE 353, AE 370, and PHYS 212.",2 hours.,"2 undergraduate hours. No graduate credit. Prerequisite: AE 202, AE 352, AE 353, AE 370, and PHYS 212.",,,58056,AB1,A,1,A,Open,LAB,9:00 AM,10:50 AM,M,,,
581,2020,Fall,2020-fa,AE,497,Independent Study,Independent theoretical and experimental projects in aerospace engineering. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.,,,10019,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
582,2020,Fall,2020-fa,AE,498,Special Topics,Subject offerings of new and developing areas of knowledge in aerospace engineering intended to augment the existing curriculum. See Class Schedule or department course information for topics and prerequisite. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 9 undergraduate hours or 12 graduate hours.,1 TO 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 9 undergraduate hours or 12 graduate hours.,,,72133,HAT,A,1,A,Open,LCD,10:00 AM,10:50 AM,MWF,,,"Panerai, F"
584,2020,Fall,2020-fa,AE,512,Molecular Gas Dynamics,"The course focuses on the molecular description of physical and chemical processes in gases. The molecular viewpoint is essential to promote the understanding of physical processes occurring at very high temperatures and low pressures. These conditions are typically encountered in high speed and non-equilibrium gas flows. After a brief review of the fundamental concepts of statistical mechanics and chemical thermodynamics, the course focuses on the fundamentals of kinetic theory of gases, equilibrium chemistry, non-equilibrium kinetics and non-thermal radiation. 4 graduate hours. No professional credit. Prerequisite: AE 311, AE 312, ME 200.",4 hours.,"4 graduate hours. No professional credit. Prerequisite: AE 311, AE 312, ME 200.",,,69770,A,A,1,A,Open,LCD,1:00 PM,2:50 PM,MW,,,"Panesi, M"
586,2020,Fall,2020-fa,AE,528,Nonlinear Continuous Media,"Fundamental concepts of large deformations in nonlinear elasticity and inelasticity with applications: generalized tensors, finite deformations, stress-strain relations in terms of strain energy functions, inverse problems, solutions of tension, shear and bending problems, finite plane strain, theory of successive approximations, fiber-reinforced beams, plates and cylinders, thermodynamics of deformable media, stability considerations, and constituent relations for inelasticity. Prerequisite: AE 321 or TAM 451.",4 hours.,Prerequisite: AE 321 or TAM 451.,,,39793,A,A,1,A,Open,LCD,9:30 AM,10:50 AM,TR,,,"Hilton, H"
588,2020,Fall,2020-fa,AE,542,Aerospace Syst Engineering I,"Aerospace systems engineering principles, processes and practices for the definition of spacecraft, aircraft, launch and associated systems, and the application of the systems approach across the development life cycle. Prerequisite: Any of AE 442, AE 443, ME 470, ECE 445, ECE 411; CS 492, CS 493, or CEE 465.",4 hours.,"Prerequisite: Any of AE 442, AE 443, ME 470, ECE 445, ECE 411; CS 492, CS 493, or CEE 465.",,,60267,AS1,A,1,A,Open,LEC,10:00 AM,11:20 AM,TR,,,"Merret, J"
590,2020,Fall,2020-fa,AE,564,Advanced Aero Propulsion Lab,"Theory and application of advanced diagnostic techniques used in aerodynamics and propulsion research with an emphasis placed on wind tunnel testing and advanced optical and laser-based techniques. Experience with aircraft performance measurement, wind tunnel testing, schlieren/shadowgraph photography, interferometry, spectroscopy, laser Doppler velocimetry, particle and molecular-based scattering, particle image velocimetry, pressure/temperature/shear sensitive paint, and other recently developed techniques provided through lectures and laboratory exercises.Prerequisites: AE 311, AE 312, AE 433, AE 460.",4 hours.,"Prerequisites: AE 311, AE 312, AE 433, AE 460.",,,61494,A,A,1,A,Open,LCD,9:00 AM,10:20 AM,MW,,,"Elliott, G"
591,2020,Fall,2020-fa,AE,590,Seminar,"Presentation by graduate students, staff, and guest lecturers of current topics in aerospace engineering. Approved for S/U grading only.",0 hours.,Approved for S/U grading only.,,,29808,A,A,1,A,Open (Restricted),CNF,4:00 PM,4:50 PM,M,103,Talbot Laboratory,
594,2020,Fall,2020-fa,AE,597,Independent Study,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.,May be repeated. Prerequisite: Consent of instructor.,,,10021,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
595,2020,Fall,2020-fa,AE,599,Thesis Research,Research in the various areas of aerospace engineering. Approved for S/U grading only. May be repeated.,0 TO 16 hours.,Approved for S/U grading only. May be repeated.,,,10024,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
596,2020,Fall,2020-fa,AFAS,102,Leadership Laboratory,"Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complements the AFROTC academic program (AFAS 111 - AFAS 342). It is a student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and operations Flight Commander. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.",0 hours.,Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,,,31223,A,A,1,A,Open,LAB,6:00 AM,7:20 AM,M,,,"Cencer, T;Heidbreder, J;Hill, P;Timberlake, J"
600,2020,Fall,2020-fa,AFAS,111,Heritage and Values of the United States Air Force I,"Heritage and Values of the United States Air Force is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Prerequisite: Concurrent enrollment in AFAS 102 is required.",1 hours.,Prerequisite: Concurrent enrollment in AFAS 102 is required.,,,31226,O,A,1,A,Open,LCD,11:00 AM,11:50 AM,W,325,Armory,"Cencer, T;Heidbreder, J;Hill, P;Timberlake, J"
602,2020,Fall,2020-fa,AFAS,120,Intro to US Armed Forces,Same as MILS 120 and NS 120. See MILS 120.,3 hours.,Same as MILS 120 and NS 120. See MILS 120.,Humanities - Hist & Phil course.,,64677,A,A,1,A,CrossListOpen,LEC,12:30 PM,1:50 PM,TR,134,Armory,"Ashworth, E;Frey, A;Heidbreder, J"
603,2020,Fall,2020-fa,AFAS,221,Team and Leadership Fundamentals I,Team and Leadership Fundamentals focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Prerequisite: AFAS 112 or consent of instructor. Concurrent enrollment in AFAS 102 is required.,1 hours.,Prerequisite: AFAS 112 or consent of instructor. Concurrent enrollment in AFAS 102 is required.,,,31236,J,A,1,A,Open,LCD,3:00 PM,3:50 PM,T,,,"Cencer, T;Heidbreder, J;Hill, P;Timberlake, J"
606,2020,Fall,2020-fa,AFAS,331,Leading People and Effective Communication I,Leading People and Effective Communication teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skill. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Prerequisite: AFAS 222 or consent of instructor. Concurrent enrollment in AFAS 102 is required.,3 hours.,Prerequisite: AFAS 222 or consent of instructor. Concurrent enrollment in AFAS 102 is required.,,,31241,X,A,1,A,Open,LCD,7:30 AM,8:50 AM,MW,,,"Cencer, T;Heidbreder, J;Hill, P;Timberlake, J"
607,2020,Fall,2020-fa,AFAS,341,Nat Sec Afrs/Prep Actv Duty I,"""National Security Affairs/Preparation for Active Duty"" is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 332 or consent of instructor.",3 hours.,Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 332 or consent of instructor.,,,31243,B,A,1,A,Open,LCD,ARRANGED,,,,,"Cencer, T;Heidbreder, J;Hill, P;Timberlake, J"
609,2020,Fall,2020-fa,AFRO,100,Intro to African American St,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,49318,AD1,A,1,A,Open,DIS,1:00 PM,1:50 PM,R,245,Altgeld Hall,"Bailey, R;McMillion, D"
612,2020,Fall,2020-fa,AFRO,101,"Black America, 1619-Present","Sociohistorical survey of African American experiences from the West African background to North America, from the 17th century to the present. Same as HIST 174.",3 hours.,Same as HIST 174.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,47705,AD2,A,1,A,CrossListOpen,DIS,12:00 PM,12:50 PM,R,330,Armory,"Cha-Jua, S;Keniston, W"
615,2020,Fall,2020-fa,AFRO,132,African American Music,"Survey of African American music, from its origins to the present with a focus on understanding details of musical performance and the ways in which music interacts with its social and political context. Examines genres such as spirituals, the blues, jazz, R&B, soul, and hip-hop. No previous musical background is necessary.",3 hours.,,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",,67122,JM1,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,304,Music Building,
616,2020,Fall,2020-fa,AFRO,201,US Racial &amp; Ethnic Politics,"Same as AAS 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AAS 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,71041,OL1,A,A,A,CrossListOpen,ONL,ARRANGED,,,,,
618,2020,Fall,2020-fa,AFRO,212,Intro African American Theat,Same as THEA 263. See THEA 263.,3 hours.,Same as THEA 263. See THEA 263.,Cultural Studies - US Minority course.,,55973,A,A,1,A,Closed,ONL,ARRANGED,,,,,"Bright, L"
619,2020,Fall,2020-fa,AFRO,226,Black Women Contemp US Society,"Sociological perspective of the experience of African American women in the contemporary United States. Specifically, an examination of relationships between the economy, state policy, culture, work and motherhood for this demographic group. Same as GWS 226 and SOC 223.",3 hours.,Same as GWS 226 and SOC 223.,,,57813,RM,A,1,A,CrossListOpen,LCD,12:30 PM,1:50 PM,MW,347,Altgeld Hall,"McKee, M"
620,2020,Fall,2020-fa,AFRO,228,Hip Hop Music: History and Culture,"A study of hip-hop from its beginnings in the post-industrial South Bronx of the 1970s to the global present. By focusing on the work of specific artists and movements, we will compare and contrast the production and consumption of hip-hop with other forms of popular music (including jazz, rock, disco, and pop). This course shows how musicians and listeners use hip-hop to express ideas about topics such as economics, nationalism, black power, feminism, and violence.",3 hours.,,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",,70353,A,A,1,A,Open,LCD,2:00 PM,3:20 PM,TR,108,David Kinley Hall,"Meyers, J"
621,2020,Fall,2020-fa,AFRO,243,Pan Africanism,"Provides an introduction to Pan African political movements and ideologies from the Americas to continental Africa. Examines the political, social, economic, and ideological relationships and connections between Africans and their descendants in the diaspora from an historical and comparative perspective. Same as AFST 243 and PS 243.",3 hours.,Same as AFST 243 and PS 243.,Cultural Studies - Non-West course.,,38492,AL1,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,107,Animal Sciences Laboratory,"Bowen, M"
622,2020,Fall,2020-fa,AFRO,259,Early African American Literature and Culture,Same as CWL 259 and ENGL 259. See ENGL 259.,3 hours.,Same as CWL 259 and ENGL 259. See ENGL 259.,Cultural Studies - US Minority course.,Students must register for one discussion and one lecture section.,55609,E,A,1,A,Closed,LCD,1:00 PM,1:50 PM,MWF,119,English Building,"Claborn, J"
623,2020,Fall,2020-fa,AFRO,260,Modern African American Literature and Culture,Same as CWL 260 and ENGL 260. See ENGL 260.,3 hours.,Same as CWL 260 and ENGL 260. See ENGL 260.,Cultural Studies - US Minority course.,,46869,X,A,1,A,CrossListOpen,LEC,2:00 PM,3:20 PM,TR,131,English Building,"Hunt, I"
624,2020,Fall,2020-fa,AFRO,261,Intro to the African Diaspora,"Introduction to the origin, development, and maturation of the African diaspora in the Americas and the Caribbean, beginning with the transatlantic slave trade and up to the end of the 20th century. Same as ANTH 261.",3 hours.,Same as ANTH 261.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",Students must register in the lecture and one discussion section.,46614,A,A,1,A,CrossListOpen,LCD,10:00 AM,11:20 AM,MW,37,Education Building,"McDuffie, E"
625,2020,Fall,2020-fa,AFRO,276,Afro-American Hist Since 1877,Same as HIST 276. See HIST 276.,3 hours.,Same as HIST 276. See HIST 276.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,62740,A,A,1,A,CrossListOpen,LCD,10:00 AM,11:20 AM,MW,317,Gregory Hall,"Mumford, K"
626,2020,Fall,2020-fa,AFRO,281,Constructing Race in America,"Same as AAS 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AAS 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,71410,AD1,A,1,A,CrossListOpen,DIS,9:00 AM,9:50 AM,F,221,Gregory Hall,
630,2020,Fall,2020-fa,AFRO,310,Race and Cultural Diversity,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.","Advanced Composition, and Cultural Studies - US Minority course.",,65001,D1,A,1,A,CrossListOpen,DIS,2:00 PM,3:50 PM,R,22,Education Building,
633,2020,Fall,2020-fa,AFRO,382,African Amer Families in Film,"Uses film as case studies to examine the diverse structures, social classes, and internal dynamics among African American families. Critical family processes such as family formation patterns, dating mate selection, parenting, male-female/gender relations, child adolescent, and adult development, family routines and practices, family communication, and family stress and coping will be examined. Also considers how families interact within larger contexts, such as the local neighborhood and key institutions (school, workplace, social service agencies). Films will be supplemented with readings drawn for diverse disciplines (African American Studies, Anthropology, Family Studies, History, Psychology, and Sociology) that allow us to examine key substantive, theoretical, methodological, and policy issues in the study of African American families. Same as HDFS 324.",3 hours.,Same as HDFS 324.,,,57819,RJ,A,1,A,CrossListOpen,LCD,2:00 PM,4:50 PM,W,301,Architecture Building,"McMillion, D"
634,2020,Fall,2020-fa,AFRO,398,Spec Topics Afro-Am Studies,"Advanced seminar on selected topics with particular emphasis on current research trends. May be repeated to a maximum of 6 hours. Prerequisite: Junior status and one of the following: AFRO 224, or HIST 275 or HIST 276, or ENGL 259 or ENGL 260.",3 hours.,"May be repeated to a maximum of 6 hours. Prerequisite: Junior status and one of the following: AFRO 224, or HIST 275 or HIST 276, or ENGL 259 or ENGL 260.",,,40331,WP,A,1,A,CrossListOpen,LCD,6:00 PM,8:50 PM,R,324,Music Building,"Patterson, W"
635,2020,Fall,2020-fa,AFRO,411,African American Psychology,"Introduction to the research, theories, and paradigms developed to understand the attitudes, behaviors, and psychological and educational realities of African Americans. Same as PSYC 416. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 100 or one psychology course.",3 OR 4 hours.,Same as PSYC 416. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 100 or one psychology course.,,,69260,G,A,1,A,CrossListOpen (Restricted),LCD,10:30 AM,11:50 AM,TR,312,David Kinley Hall,"Neville, H"
637,2020,Fall,2020-fa,AFRO,421,Racial and Ethnic Families,"Same as EPOL 410, EPS 421, and HDFS 424. See EPS 421.",2 TO 4 hours.,"Same as EPOL 410, EPS 421, and HDFS 424. See EPS 421.",,,54751,A,A,1,A,CrossListOpen (Restricted),LCD,10:00 AM,11:50 AM,T,323,Education Building,"Barnett, B"
639,2020,Fall,2020-fa,AFRO,474,"Black Freed Move, 1955-Present","Presents the struggle of African Americans for self-definition, self-development, and self-determination from the inception of the civil rights movement to the contemporary period. Same as HIST 478. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 101, HIST 276, or consent of instructor.",3 OR 4 hours.,"Same as HIST 478. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 101, HIST 276, or consent of instructor.",Advanced Composition course.,,56090,A,A,1,A,CrossListOpen,LCD,1:00 PM,2:20 PM,TR,103,Bevier Hall,"Cha-Jua, S"
641,2020,Fall,2020-fa,AFRO,481,Urban Communities &amp; Public Pol,"Examination of how public policy has shaped urban communities and the life chances (i.e., the social, economic, mental and physical well-being) of families of color. Emphasizes the theoretical, political, and economic context of public policy making and specifically address urban issues of housing, communities and families, employment, welfare, and poverty. This course will draw on scholarship by sociologists, historians, policy analysts, race theorists, and economists. Same as SOC 472 and UP 481. 3 undergraduate hours. 4 graduate hours.",3 OR 4 hours.,Same as SOC 472 and UP 481. 3 undergraduate hours. 4 graduate hours.,,,64106,1G,A,1,A,CrossListOpen (Restricted),LCD,9:30 AM,10:50 AM,TR,G32,Foreign Languages Building,"Harrison, F"
643,2020,Fall,2020-fa,AFRO,482,Immersion Journalism,Same as JOUR 482. See JOUR 482.,3 OR 4 hours.,Same as JOUR 482. See JOUR 482.,,,64926,A,A,1,A,CrossListOpen (Restricted),LCD,11:00 AM,1:50 PM,F,336,Gregory Hall,"Dash, L"
645,2020,Fall,2020-fa,AFRO,490,Theory in African American St,"Introduction to various theories and methodologies rising out of the study of the Black world based on African American intellectual traditions. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 100 and one additional 400-level AFRO course, or consent of instructor.",3 OR 4 hours.,"3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 100 and one additional 400-level AFRO course, or consent of instructor.",,,57821,G1,A,1,A,CrossListOpen,LCD,2:00 PM,4:50 PM,W,115,David Kinley Hall,"Smith, B"
647,2020,Fall,2020-fa,AFRO,500,Core Probs African-Am Studies,"Introduction for grad students to the central concepts, theories, methodologies, and paradigms in Black Studies. Students will also be introduced to the key critical scholars, seminal works and emerging trends in Black Studies. Prerequisite: Graduate standing.",4 hours.,Prerequisite: Graduate standing.,,,46585,A,A,1,A,Open (Restricted),LCD,2:00 PM,4:50 PM,T,W115,Turner Hall,"Harrison, F"
648,2020,Fall,2020-fa,AFRO,595,Directed Independent Readings,Primarily but not exclusively for students who are completing a minor or concentration in African American Studies. Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 12 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 12 hours. Prerequisite: Consent of instructor.,,,62651,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
649,2020,Fall,2020-fa,AFRO,597,Problems in African-Am Studies,"Focused reading and study of special problems in African American Studies. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing, AFRO 500 or equivalent, or consent of instructor.",4 hours.,"May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing, AFRO 500 or equivalent, or consent of instructor.",,,46593,B,A,1,A,CrossListOpen,LCD,2:00 PM,4:50 PM,M,135,English Building,"Jenkins, C"
650,2020,Fall,2020-fa,AFST,111,History of Africa to 1800,Same as HIST 111. See HIST 111.,3 hours.,Same as HIST 111. See HIST 111.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",,72868,A,A,1,A,CrossListOpen,LCD,2:00 PM,3:20 PM,TR,307,Gregory Hall,"Nobili, M"
651,2020,Fall,2020-fa,AFST,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,May be repeated.,,,10130,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
652,2020,Fall,2020-fa,AFST,213,African Muslim Societies,Same as HIST 213 and REL 215. See HIST 213.,3 hours.,Same as HIST 213 and REL 215. See HIST 213.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",,72888,A,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,1065,Lincoln Hall,"Nobili, M"
653,2020,Fall,2020-fa,AFST,231,Elementary Swahili I,Same as SWAH 201. See SWAH 201.,5 hours.,Same as SWAH 201. See SWAH 201.,,,36527,AE1,A,1,A,CrossListOpen,LAB,1:00 PM,1:50 PM,W,G7,Foreign Languages Building,"Gathogo, M;Saadah, E;Wawire, G"
657,2020,Fall,2020-fa,AFST,241,Elementary Wolof I,Same as WLOF 201. See WLOF 201.,5 hours.,Same as WLOF 201. See WLOF 201.,,,56793,AD1,A,1,A,CrossListOpen,LCD,9:00 AM,10:20 AM,MF,115,David Kinley Hall,"Gathogo, M;Saadah, E"
658,2020,Fall,2020-fa,AFST,243,Pan Africanism,Same as AFRO 243 and PS 243. See AFRO 243.,3 hours.,Same as AFRO 243 and PS 243. See AFRO 243.,Cultural Studies - Non-West course.,,43136,AL1,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,107,Animal Sciences Laboratory,"Bowen, M"
659,2020,Fall,2020-fa,AFST,338,Egypt Since World War I,Same as HIST 338. See HIST 338.,3 hours.,Same as HIST 338. See HIST 338.,,,70888,A,A,1,A,CrossListOpen,LCD,10:00 AM,11:20 AM,MW,312,David Kinley Hall,"Maggid Alon, L"
